timestamp,team,agent_type,agent_id,squad_id,is_leader,x,y,z,yaw,alive,event,target,damaged_by
0.0,red,drone,red_drn_1,red_drn_1,1,7500.0,200.0,19500.0,-1.413,alive,,,
0.0,red,drone,red_drn_2,red_drn_1,0,7500.0,200.0,19500.0,-1.413,alive,,,
0.0,red,tank,red_tnk_1,red_tnk_1,1,2500.0,163.62,14250.0,-0.7056,alive,,,
0.0,red,tank,red_tnk_2,red_tnk_2,1,4275.0,169.64,14250.0,-0.8575,alive,,,
0.0,red,tank,red_tnk_3,red_tnk_3,1,6075.0,175.04,14250.0,-1.0663,alive,,,
0.0,red,tank,red_tnk_4,red_tnk_4,1,7850.0,183.03,14250.0,-1.332,alive,,,
0.0,red,infantry,red_inf_1,red_inf_1,1,2500.0,156.07,16250.0,-0.8543,alive,,,
0.0,red,infantry,red_inf_2,red_inf_1,0,2500.0,156.07,16250.0,-0.8543,alive,,,
0.0,red,infantry,red_inf_3,red_inf_1,0,2500.0,156.07,16250.0,-0.8543,alive,,,
0.0,red,infantry,red_inf_4,red_inf_1,0,2500.0,156.07,16250.0,-0.8543,alive,,,
0.0,red,infantry,red_inf_5,red_inf_1,0,2500.0,156.07,16250.0,-0.8543,alive,,,
0.0,red,infantry,red_inf_6,red_inf_1,0,2500.0,156.07,16250.0,-0.8543,alive,,,
0.0,red,infantry,red_inf_7,red_inf_1,0,2500.0,156.07,16250.0,-0.8543,alive,,,
0.0,red,infantry,red_inf_8,red_inf_1,0,2500.0,156.07,16250.0,-0.8543,alive,,,
0.0,red,infantry,red_inf_9,red_inf_1,0,2500.0,156.07,16250.0,-0.8543,alive,,,
0.0,red,infantry,red_inf_10,red_inf_2,1,5275.0,152.24,16250.0,-1.0969,alive,,,
0.0,red,infantry,red_inf_11,red_inf_2,0,5275.0,152.24,16250.0,-1.0969,alive,,,
0.0,red,infantry,red_inf_12,red_inf_2,0,5275.0,152.24,16250.0,-1.0969,alive,,,
0.0,red,infantry,red_inf_13,red_inf_2,0,5275.0,152.24,16250.0,-1.0969,alive,,,
0.0,red,infantry,red_inf_14,red_inf_2,0,5275.0,152.24,16250.0,-1.0969,alive,,,
0.0,red,infantry,red_inf_15,red_inf_2,0,5275.0,152.24,16250.0,-1.0969,alive,,,
0.0,red,infantry,red_inf_16,red_inf_2,0,5275.0,152.24,16250.0,-1.0969,alive,,,
0.0,red,infantry,red_inf_17,red_inf_2,0,5275.0,152.24,16250.0,-1.0969,alive,,,
0.0,red,infantry,red_inf_18,red_inf_2,0,5275.0,152.24,16250.0,-1.0969,alive,,,
0.0,red,infantry,red_inf_19,red_inf_3,1,8050.0,167.52,16250.0,-1.4172,alive,,,
0.0,red,infantry,red_inf_20,red_inf_3,0,8050.0,167.52,16250.0,-1.4172,alive,,,
0.0,red,infantry,red_inf_21,red_inf_3,0,8050.0,167.52,16250.0,-1.4172,alive,,,
0.0,red,infantry,red_inf_22,red_inf_3,0,8050.0,167.52,16250.0,-1.4172,alive,,,
0.0,red,command_post,red_cp_1,red_cp_1,1,15000.0,194.14,20500.0,-2.0176,alive,,,
0.0,red,self_dest_drone,red_sdd_1,red_sdd_1,1,7500.0,200.0,13250.0,-1.2178,alive,,,
0.0,red,self_dest_drone,red_sdd_2,red_sdd_1,0,7500.0,200.0,13250.0,-1.2178,alive,,,
0.0,blue,artillery,blue_art_1,blue_art_1,1,5000.0,185.91,1250.0,0.5485,alive,,,
0.0,blue,drone,blue_drn_1,blue_drn_1,1,7500.0,200.0,3000.0,0.5404,alive,,,
0.0,blue,drone,blue_drn_2,blue_drn_1,0,7500.0,200.0,3000.0,0.5404,alive,,,
0.0,blue,tank,blue_tnk_1,blue_tnk_1,1,7500.0,193.18,3750.0,0.5124,alive,,,
0.0,blue,antitank,blue_at_1,blue_at_1,1,2500.0,162.67,5500.0,0.3631,alive,,,
0.0,blue,antitank,blue_at_2,blue_at_1,0,2500.0,162.67,5500.0,0.3631,alive,,,
0.0,blue,antitank,blue_at_3,blue_at_2,1,6075.0,166.14,5500.0,0.4174,alive,,,
0.0,blue,antitank,blue_at_4,blue_at_2,0,6075.0,166.14,5500.0,0.4174,alive,,,
0.0,blue,infantry,blue_inf_1,blue_inf_1,1,5000.0,156.0,6250.0,0.3709,alive,,,
0.0,blue,infantry,blue_inf_2,blue_inf_1,0,5000.0,156.0,6250.0,0.3709,alive,,,
0.0,blue,infantry,blue_inf_3,blue_inf_1,0,5000.0,156.0,6250.0,0.3709,alive,,,
0.0,blue,infantry,blue_inf_4,blue_inf_1,0,5000.0,156.0,6250.0,0.3709,alive,,,
0.0,blue,infantry,blue_inf_5,blue_inf_1,0,5000.0,156.0,6250.0,0.3709,alive,,,
0.0,blue,infantry,blue_inf_6,blue_inf_1,0,5000.0,156.0,6250.0,0.3709,alive,,,
0.0,blue,infantry,blue_inf_7,blue_inf_1,0,5000.0,156.0,6250.0,0.3709,alive,,,
0.0,blue,infantry,blue_inf_8,blue_inf_1,0,5000.0,156.0,6250.0,0.3709,alive,,,
0.0,blue,infantry,blue_inf_9,blue_inf_1,0,5000.0,156.0,6250.0,0.3709,alive,,,
0.0,blue,infantry,blue_inf_10,blue_inf_2,1,8750.0,173.71,6250.0,0.4366,alive,,,
0.0,blue,infantry,blue_inf_11,blue_inf_2,0,8750.0,173.71,6250.0,0.4366,alive,,,
0.0,blue,infantry,blue_inf_12,blue_inf_2,0,8750.0,173.71,6250.0,0.4366,alive,,,
0.0,blue,infantry,blue_inf_13,blue_inf_2,0,8750.0,173.71,6250.0,0.4366,alive,,,
0.0,blue,infantry,blue_inf_14,blue_inf_2,0,8750.0,173.71,6250.0,0.4366,alive,,,
0.0,blue,command_post,blue_cp_1,blue_cp_1,1,15000.0,157.92,2000.0,0.805,alive,,,
0.0,blue,self_dest_drone,blue_sdd_1,blue_sdd_1,1,7500.0,200.0,8250.0,0.3255,alive,,,
